시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지도로명주소,학교상태명,설립일자
B10,서울특별시교육청,7010057,가락고등학교,Garak High School,고등학교,서울특별시 송파구 송이로 45 (가락동),설립,19881227
B10,서울특별시교육청,7011169,가재울고등학교,Gajaeul High School,고등학교,서울특별시 서대문구 수색로 100 (남가좌동),설립,20130301
B10,서울특별시교육청,7010058,강동고등학교,Kangdong High School,고등학교,서울특별시 강동구 구천면로 594 (상일동),설립,19840305
B10,서울특별시교육청,7010059,강서고등학교,Gangseo High School,고등학교,서울특별시 양천구 목동중앙남로 27 (목동),설립,19830302
B10,서울특별시교육청,7010061,개포고등학교,Gaepo High School,고등학교,서울특별시 강남구 개포로42길 15 (개포동),설립,19870309
B10,서울특별시교육청,7010062,경기고등학교,Kyunggi High School,고등학교,서울특별시 강남구 영동대로 643 (삼성동),설립,19001003
B10,서울특별시교육청,7010063,경기여자고등학교,Kyunggi Girls High School,고등학교,서울특별시 강남구 개포로 501 (개포동),설립,19080401
B10,서울특별시교육청,7010064,경동고등학교,Kyungdong High School,고등학교,서울특별시 성북구 보문로29길 51 (보문동3가),설립,19400331
B10,서울특별시교육청,7010065,경복고등학교,Kyungbock High School,고등학교,서울특별시 종로구 청운효자로 19 (청운동),설립,19210505
B10,서울특별시교육청,7010066,경성고등학교,Kyungsung High School,고등학교,서울특별시 마포구 성산로 170 (성산동),설립,19721229
B10,서울특별시교육청,7010067,경신고등학교,Kyungshin High School,고등학교,서울특별시 종로구 혜화로 74 (혜화동),설립,18860508
B10,서울특별시교육청,7010068,경인고등학교,Kyungin High School,고등학교,서울특별시 구로구 경인로20길 48 (오류동),설립,19950302
B10,서울특별시교육청,7010069,경일고등학교,Kyungil High School,고등학교,서울특별시 성동구 성수일로 98 (성수동1가),설립,19630305
B10,서울특별시교육청,7010070,경희고등학교,Kyunghee High School,고등학교,서울특별시 동대문구 경희대로 26 (회기동),설립,19591007
B10,서울특별시교육청,7010071,경희여자고등학교,Kyunghee Girls High School,고등학교,서울특별시 동대문구 경희대로 26 (회기동),설립,19600118
B10,서울특별시교육청,7010072,계성고등학교,Kyesung High School,고등학교,서울특별시 성북구 길음로 13 (길음동),설립,18820908
B10,서울특별시교육청,7010073,고려고등학교,Korea High School,고등학교,서울특별시 은평구 응암로 361 (응암동),설립,19560228
